name,url,category,author,summary,rating,rating_count,review_count,ingredients,directions,prep,cook,total,servings,yield,calories
Simple Macaroni and Cheese,https://www.allrecipes.com/recipe/238691/simple-macaroni-and-cheese/,main-dish,g0dluvsugly,"A very quick and easy fix to a tasty side-dish. Fancy, designer mac and cheese often costs forty or fifty dollars to prepare when you have so many exotic and expensive cheeses, but they aren't always the best tasting. This recipe is cheap and tasty.",4.42,834,575,1 (8 ounce) box elbow macaroni , ? cup butter , ? cup all-purpose flour , ? teaspoon salt ,   ground black pepper to taste , 2 cups milk , 2 cups shredded Cheddar cheese,"Bring a large pot of lightly salted water to a boil. Cook elbow macaroni in the boiling water, stirring occasionally until cooked through but firm to the bite, 8 minutes. Drain. Melt butter in a saucepan over medium heat; stir in flour, salt, and pepper until smooth, about 5 minutes. Slowly pour milk into butter-flour mixture while continuously stirring until mixture is smooth and bubbling, about 5 minutes. Add Cheddar cheese to milk mixture and stir until cheese is melted, 2 to 4 minutes. Fold macaroni into cheese sauce until coated."
Gourmet Mushroom Risotto,https://www.allrecipes.com/recipe/85389/gourmet-mushroom-risotto/,main-dish,Myleen Sagrado Sj?din,"Authentic Italian-style risotto cooked the slow and painful way, but oh so worth it. Complements grilled meats and chicken dishes very well. Check the rice by biting into it. It should be slightly al dente (or resist slightly to the tooth but not be hard in the center).",4.8,3388,2245,"6 cups chicken broth, divided ; 3 tablespoons olive oil, divided ; 1 pound portobello mushrooms, thinly sliced ; 1 pound white mushrooms, thinly sliced ; 2  shallots, diced ; 1 ? cups Arborio rice ; ? cup dry white wine ;   sea salt to taste ;   freshly ground black pepper to taste ; 3 tablespoons finely chopped chives ; 4 tablespoons butter ; ? cup freshly grated Parmesan cheese","In a saucepan, warm the broth over low heat. Warm 2 tablespoons olive oil in a large saucepan over medium-high heat. Stir in the mushrooms, and cook until soft, about 3 minutes. Remove mushrooms and their liquid, and set aside. Add 1 tablespoon olive oil to skillet,  and stir in the shallots. Cook 1 minute. Add rice, stirring to coat with oil, about 2 minutes. When the rice has taken on a pale, golden color, pour in wine, stirring constantly until the wine is fully absorbed. Add 1/2 cup broth to the rice, and stir until the broth is absorbed. Continue adding broth 1/2 cup at a time, stirring continuously, until the liquid is absorbed and the rice is al dente, about 15 to 20 minutes. Remove from heat, and stir in mushrooms with their liquid, butter, chives, and parmesan. Season with salt and pepper to taste.",20 mins,30 mins,50 mins,6,6 servings,430.6
Dessert Crepes,https://www.allrecipes.com/recipe/19037/dessert-crepes/,breakfast-and-brunch,ANN57,"Essential crepe recipe.  Sprinkle warm crepes with sugar and lemon, or serve with cream or ice cream and fruit.",4.8,1156,794,"4  eggs, lightly beaten ; 1 ? cups milk ; 2 tablespoons butter, melted ; 1 cup all-purpose flour ; 2 tablespoons white sugar ; ? teaspoon salt","In large bowl, whisk together eggs, milk, melted butter, flour sugar and salt until smooth. Heat a medium-sized skillet or crepe pan over medium heat. Grease pan with a small amount of butter or oil applied with a brush or paper towel.  Using a serving spoon or small ladle, spoon about 3 tablespoons crepe batter into hot pan, tilting the pan so that bottom surface is evenly coated.  Cook over medium heat, 1 to 2 minutes on a side, or until golden brown.  Serve immediately.",10 mins,10 mins,20 mins,8,8 crepes,163.8
Pork Steaks,https://www.allrecipes.com/recipe/70463/pork-steaks/,meat-and-poultry,BABYLOVE1222,My mom came up with this recipe when I was a child. It is the ONLY way I will eat green onions.,4.57,689,539,"? cup butter ; ? cup soy sauce ; 1 bunch green onions ; 2 cloves garlic, minced ; 6  pork butt steaks","Melt butter in a skillet, and mix in the soy sauce. Saute the green onions and garlic until lightly browned. Place the pork steaks in the skillet, cover, and cook 8 to 10 minutes on each side, Remove cover, and continue cooking 10 minutes, or to an internal temperature of 145 degrees F (63 degrees C).",15 mins,30 mins,45 mins,6,6 servings,353.1
Quick and Easy Pizza Crust,https://www.allrecipes.com/recipe/20171/quick-and-easy-pizza-crust/,bread,CHEF RIDER,"This is a great recipe when you don't want to wait for the dough to rise.  You just mix it and allow it to rest for 5 minutes and then it's ready to go!!  It yields a soft, chewy crust.  For a real treat, I recommend you use bread flour and bake it on a pizza stone, but all-purpose flour works well too. Enjoy!",4.7,3741,2794,1 (.25 ounce) package active dry yeast , 1 teaspoon white sugar , 1 cup warm water (110 degrees F/45 degrees C) , 2 ? cups bread flour , 2 tablespoons olive oil , 1 teaspoon salt,"Preheat oven to 450 degrees F (230 degrees C). In a medium bowl, dissolve yeast and sugar in warm water. Let stand until creamy, about 10 minutes. Stir in flour, salt and oil. Beat until smooth. Let rest for 5 minutes. Turn dough out onto a lightly floured surface and pat or roll into a round. Transfer crust to a lightly greased pizza pan or baker's peel dusted with cornmeal. Spread with desired toppings and bake in preheated oven for 15 to 20 minutes, or until golden brown. Let baked pizza cool for 5 minutes before serving.",
Chicken Parmesan,https://www.allrecipes.com/recipe/223042/chicken-parmesan/,world-cuisine,Chef John,"My version of chicken parmesan is a little different than what they do in the restaurants, with less sauce and a crispier crust.",4.83,4245,2662,"4  skinless, boneless chicken breast halves ;   salt and freshly ground black pepper to taste ; 2  eggs ; 1 cup panko bread crumbs, or more as needed ; ? cup grated Parmesan cheese ; 2 tablespoons all-purpose flour, or more if needed ; 1 cup olive oil for frying ; ? cup prepared tomato sauce ; ? cup fresh mozzarella, cut into small cubes  ; ? cup chopped fresh basil ; ? cup grated provolone cheese ; ? cup grated Parmesan cheese ; 1 tablespoon olive oil","Preheat an oven to 450 degrees F (230 degrees C). Place chicken breasts between two sheets of heavy plastic (resealable freezer bags work well) on a solid, level surface. Firmly pound chicken with the smooth side of a meat mallet to a thickness of 1/2-inch. Season chicken thoroughly with salt and pepper. Beat eggs in a shallow bowl and set aside. Mix bread crumbs and 1/2 cup Parmesan cheese in a separate bowl, set aside. Place flour in a sifter or strainer; sprinkle over chicken breasts, evenly coating both sides. Dip flour coated chicken breast in beaten eggs. Transfer breast to breadcrumb mixture, pressing the crumbs into both sides. Repeat for each breast. Set aside breaded chicken breasts for about 15 minutes. Heat 1 cup olive oil in a large skillet on medium-high heat until it begins to shimmer. Cook chicken until golden, about 2 minutes on each side. The chicken will finish cooking in the oven. Place chicken in a baking dish and top each breast with about 1/3 cup of tomato sauce. Layer each chicken breast with equal amounts of mozzarella cheese, fresh basil, and provolone cheese. Sprinkle 1 to 2 tablespoons of Parmesan cheese on top and drizzle with 1 tablespoon olive oil. Bake in the preheated oven until cheese is browned and bubbly, and chicken breasts are no longer pink in the center, 15 to 20 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).",25 mins,20 mins,1 hr,4,4 servings,470.8
Easy Sausage Gravy and Biscuits,https://www.allrecipes.com/recipe/216391/easy-sausage-gravy-and-biscuits/,trusted-brands-recipes-and-tips,JimmyDean,"Hot jumbo buttermilk biscuits with creamy sausage gravy are ready in just 15 minutes for a hearty, family-favorite breakfast.",4.81,1063,692,1 (16 ounce) can refrigerated jumbo buttermilk biscuits , 1 (9.6 ounce) package Jimmy Dean? Original Hearty Pork Sausage Crumbles , ? cup flour , 2 ? cups milk ,   Salt and ground black pepper to taste,"Bake biscuits according to package directions. Meanwhile, cook sausage in large skillet over medium heat 5-6 minutes or until thoroughly heated, stirring frequently.  Stir in flour. Gradually add milk; cook until mixture comes to a boil and thickens, stirring constantly. Reduce heat to medium-low; simmer 2 minutes, stirring constantly. Season to taste with salt and pepper. Split biscuits in half.  Place 2 halves on each of 8 plates; top with about 1/3 cup gravy.",5 mins,10 mins
Homemade Mac and Cheese,https://www.allrecipes.com/recipe/11679/homemade-mac-and-cheese/,main-dish,Judy,This is a nice rich mac and cheese.  Serve with a salad for a great meatless dinner. Hope you enjoy it.,4.16,2550,1863,8 ounces uncooked elbow macaroni , 2 cups shredded sharp Cheddar cheese , ? cup grated Parmesan cheese , 3 cups milk , ? cup butter , 2 ? tablespoons all-purpose flour , 2 tablespoons butter , ? cup bread crumbs 
Classic Peanut Butter Cookies,https://www.allrecipes.com/recipe/10275/classic-peanut-butter-cookies/,desserts,Shirley Sadler,Makes great cookies!,4.6,4156,3005,1 cup unsalted butter , 1 cup crunchy peanut butter , 1 cup white sugar , 1 cup packed brown sugar , 2  eggs , 2 ? cups all-purpose flour , 1 teaspoon baking powder , ? teaspoon salt 
Two-Ingredient Pizza Dough,https://www.allrecipes.com/recipe/244447/two-ingredient-pizza-dough/,bread,Michele Leigh Pinette Pierce,"If you want to make a good pizza that's fast and easy, this is it. Cooking at a higher temperature (500 degrees F (260 degrees C)) is the key to making this the perfect pizza. It doesn't get any easier than this folks. Brush dough with olive oil and add your favorite toppings. Enjoy!",4.52,264,213,"1 ? cups self-rising flour, plus more for kneading ; 1 cup plain Greek yogurt ;   cooking spray","Mix flour and Greek yogurt together in a bowl; transfer to a work surface floured with self-rising flour. Knead dough, adding more flour as needed to keep dough from being too sticky, for 8 to 10 minutes. Spray a 12-inch pizza pan with cooking spray and spread dough to edges of pan.",15 mins,,15 mins,8,8 servings,115.8
